ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression,Max Tension
Base-6,940,No,Base,6,No,341,133.6667,0,c436ac73-bbb8-42bf-8521-795466350c93,81.328,-70.167,82.711,-68.784,82.711,-70.167
Base-11,905,No,Base,11,No,142.4167,0,0,2fc16750-a94f-4a6f-b178-726bfa08a9b0,235.718,-55.939,262.935,-28.722,262.935,-55.939
Base-13,630,No,Base,13,No,120.75,0,0,223a2cdb-a01d-459d-80db-d3577e99d52e,322.374,-133.262,350.611,-105.025,350.611,-133.262
Base-16,941,No,Base,16,No,341,165,0,deddb666-434a-45f7-917c-7c2ae2b90c22,16.568,4.352,19.287,7.071,19.287,4.352
Base-17,3684,No,Base,17,No,341,158.0833,0,81647b03-6489-42c3-8b28-e936c0816666,58.976,-51.606,59.933,-50.649,59.933,-51.606
Base-20,4915,No,Base,20,No,341,182.1667,0,46aeb532-fcbb-45cf-a6a4-7b5619125807,63.113,-56.306,64.012,-55.407,64.012,-56.306
Base-25,944,No,Base,25,No,341,204.8333,0,9d51abe4-5cf0-41b3-97c4-764ab7deb085,81.019,-67.613,82.734,-65.898,82.734,-67.613
Base-26,6884,No,Base,26,No,341,188.3333,0,e323b200-c097-47ff-a2a8-7f1c76e409c9,57.915,-49.967,58.931,-48.952,58.931,-49.967
Base-35,946,No,Base,35,No,341,210.1667,0,a290f52d-4072-41de-bb4f-270282396d9a,78.526,-68.272,79.834,-66.965,79.834,-68.272
Base-36,947,No,Base,36,No,341,209,0,f65e4a02-cef1-4f8f-a4d3-6c6f5e1c924c,17.073,-20.127,16.675,-20.524,17.073,-20.524
Base-39,948,No,Base,39,No,341,173.5833,0,e80d2b52-9e83-403f-8b6e-7722fb62841a,15.631,7.029,18.569,9.967,18.569,7.029
Base-42,949,No,Base,42,No,341,196.5833,0,2f0117f7-96dc-480d-ab34-449737f19f6d,45.244,-31.213,47.015,-29.442,47.015,-31.213
Base-56,950,No,Base,56,No,246.4167,133.6667,0,b32b180a-721d-4b37-a93f-e514253df566,241.533,-193.401,248.592,-186.342,248.592,-193.401
Base-63,877,No,Base,63,No,246.4167,110.3333,0,f5debee5-94bf-465b-b905-ae6e8ba0f4d6,421.911,-204.721,454.033,-172.6,454.033,-204.721
Base-66,951,No,Base,66,No,246.4167,115.3333,0,5297d0a8-11fa-4db0-b139-1c3599547d93,220.283,-167.626,228.161,-159.748,228.161,-167.626
Base-133,709,No,Base,133,No,246.4167,149.3333,0,3533ff0e-8c64-4e51-bd19-852fc458df5b,182.556,25.867,214.984,58.295,214.984,25.867
Base-134,710,No,Base,134,No,246.4167,165,0,a93547b7-5ee1-4fe8-9656-355666ddbbe1,213.265,35.97,251.682,74.387,251.682,35.97
Base-135,711,No,Base,135,No,246.4167,188.3333,0,aed25ad8-9043-4ff4-b6fb-adc558586a3e,329.921,-52.659,371.344,-11.236,371.344,-52.659
Base-137,954,No,Base,137,No,255.0833,133.6667,0,1c18a0f7-b5cf-4526-8543-743923975ab6,96.598,-60.065,102.086,-54.577,102.086,-60.065
Base-145,955,No,Base,145,No,255.0833,115.3333,0,61a0de64-7ca2-452e-8e39-6dd3847aa9f9,43.915,12.761,52.432,21.278,52.432,12.761
Base-151,956,No,Base,151,No,255.0833,91.5,0,51a9ef15-bb3c-411b-903a-13dac9b05f35,176.347,-153.989,179.491,-150.845,179.491,-153.989
Base-156,957,No,Base,156,No,207.5,91.5,0,2fb1cc0b-5ea9-4aa2-8090-1eed3f9fc816,127.694,-27.567,143.053,-12.208,143.053,-27.567
Base-159,958,No,Base,159,No,232.3333,91.5,0,24a5dff4-e2c5-421f-8de4-ef4eaebf0516,23.96,-9.436,25.737,-7.66,25.737,-9.436
Base-166,959,No,Base,166,No,196.75,29.7083,0,4ab35d3f-528a-4219-afd5-bac5f46d9ed4,109.532,-60.071,117.353,-52.25,117.353,-60.071
Base-167,960,No,Base,167,No,196.75,23.7083,0,b89c9a5e-9871-49c4-909c-8fc0b8c5df93,75.067,13.062,89.254,27.25,89.254,13.062
Base-173,961,No,Base,173,No,196.75,32.8333,0,bb90e14d-9828-4083-ba75-e54d3a67a4f9,68.273,43.249,86.47,61.446,86.47,43.249
Base-179,962,No,Base,179,No,196.75,44.9375,0,94124ad4-4f3e-4970-936b-1f96fa09e497,138.811,-27.594,156.892,-9.512,156.892,-27.594
