ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression,Max Tension
Base-6,940,No,Base,6,No,341,133.6667,0,c436ac73-bbb8-42bf-8521-795466350c93,80.233,-69.071,81.616,-67.688,81.616,-69.071
Base-11,905,No,Base,11,No,142.4167,0,0,2fc16750-a94f-4a6f-b178-726bfa08a9b0,236.64,-56.862,263.857,-29.645,263.857,-56.862
Base-13,630,No,Base,13,No,120.75,0,0,223a2cdb-a01d-459d-80db-d3577e99d52e,323.44,-134.328,351.677,-106.091,351.677,-134.328
Base-16,941,No,Base,16,No,341,165,0,deddb666-434a-45f7-917c-7c2ae2b90c22,17.661,3.259,20.38,5.978,20.38,0
Base-17,3684,No,Base,17,No,341,158.0833,0,81647b03-6489-42c3-8b28-e936c0816666,57.48,-50.11,58.437,-49.153,58.437,-50.11
Base-20,4915,No,Base,20,No,341,182.1667,0,46aeb532-fcbb-45cf-a6a4-7b5619125807,62.143,-55.336,63.042,-54.437,63.042,-55.336
Base-25,944,No,Base,25,No,341,204.8333,0,9d51abe4-5cf0-41b3-97c4-764ab7deb085,81.387,-67.981,83.102,-66.266,83.102,-67.981
Base-26,6884,No,Base,26,No,341,188.3333,0,e323b200-c097-47ff-a2a8-7f1c76e409c9,58.046,-50.097,59.061,-49.082,59.061,-50.097
Base-35,946,No,Base,35,No,341,210.1667,0,a290f52d-4072-41de-bb4f-270282396d9a,80.299,-70.044,81.606,-68.737,81.606,-70.044
Base-36,947,No,Base,36,No,341,209,0,f65e4a02-cef1-4f8f-a4d3-6c6f5e1c924c,16.554,-19.607,16.156,-20.005,16.554,-20.005
Base-39,948,No,Base,39,No,341,173.5833,0,e80d2b52-9e83-403f-8b6e-7722fb62841a,16.934,5.725,19.872,8.663,19.872,0
Base-42,949,No,Base,42,No,341,196.5833,0,2f0117f7-96dc-480d-ab34-449737f19f6d,45.726,-31.694,47.497,-29.923,47.497,-31.694
Base-56,950,No,Base,56,No,246.4167,133.6667,0,b32b180a-721d-4b37-a93f-e514253df566,235.25,-187.118,242.309,-180.059,242.309,-187.118
Base-63,877,No,Base,63,No,246.4167,110.3333,0,f5debee5-94bf-465b-b905-ae6e8ba0f4d6,422.099,-204.91,454.221,-172.788,454.221,-204.91
Base-66,951,No,Base,66,No,246.4167,115.3333,0,5297d0a8-11fa-4db0-b139-1c3599547d93,221.919,-169.261,229.797,-161.384,229.797,-169.261
Base-133,709,No,Base,133,No,246.4167,149.3333,0,3533ff0e-8c64-4e51-bd19-852fc458df5b,181.419,27.004,213.847,59.433,213.847,0
Base-134,710,No,Base,134,No,246.4167,165,0,a93547b7-5ee1-4fe8-9656-355666ddbbe1,212.781,36.454,251.198,74.871,251.198,0
Base-135,711,No,Base,135,No,246.4167,188.3333,0,aed25ad8-9043-4ff4-b6fb-adc558586a3e,330.041,-52.779,371.465,-11.356,371.465,-52.779
Base-137,954,No,Base,137,No,255.0833,133.6667,0,1c18a0f7-b5cf-4526-8543-743923975ab6,95.442,-58.909,100.93,-53.421,100.93,-58.909
Base-145,955,No,Base,145,No,255.0833,115.3333,0,61a0de64-7ca2-452e-8e39-6dd3847aa9f9,47.472,9.205,55.988,17.721,55.988,0
Base-151,956,No,Base,151,No,255.0833,91.5,0,51a9ef15-bb3c-411b-903a-13dac9b05f35,171.115,-148.757,174.259,-145.613,174.259,-148.757
Base-156,957,No,Base,156,No,207.5,91.5,0,2fb1cc0b-5ea9-4aa2-8090-1eed3f9fc816,127.031,-26.904,142.39,-11.544,142.39,-26.904
Base-159,958,No,Base,159,No,232.3333,91.5,0,24a5dff4-e2c5-421f-8de4-ef4eaebf0516,24.84,-10.317,26.617,-8.54,26.617,-10.317
Base-166,959,No,Base,166,No,196.75,29.7083,0,4ab35d3f-528a-4219-afd5-bac5f46d9ed4,108.879,-59.419,116.7,-51.598,116.7,-59.419
Base-167,960,No,Base,167,No,196.75,23.7083,0,b89c9a5e-9871-49c4-909c-8fc0b8c5df93,74.639,13.49,88.826,27.678,88.826,0
Base-173,961,No,Base,173,No,196.75,32.8333,0,bb90e14d-9828-4083-ba75-e54d3a67a4f9,68.093,43.429,86.29,61.626,86.29,0
Base-179,962,No,Base,179,No,196.75,44.9375,0,94124ad4-4f3e-4970-936b-1f96fa09e497,137.895,-26.678,155.976,-8.597,155.976,-26.678
Base-181,963,No,Base,181,No,196.75,47.6042,0,3d60c591-7b4e-4714-99af-8d53859215c5,152.409,-12.47,175.298,10.419,175.298,-12.47
Base-185,964,No,Base,185,No,196.75,59.9792,0,501d3fe1-5af9-47e2-b5e9-fe12e0e65a3d,136.471,52.807,167.338,83.674,167.338,0
Base-191,965,No,Base,191,No,196.75,62.6458,0,01d99bfe-4e72-4829-8407-56d7a083da7a,133.708,-69.349,144.21,-58.847,144.21,-69.349
Base-202,381,No,Base,202,Yes,196.75,76.8333,0,df9b1828-8562-48c0-ad9f-b7f3e1bd8152,81.091,-12.902,91.915,-2.078,91.915,-12.902
Base-387,968,No,Base,387,No,196.75,17.5,0,6b9252da-4bf6-4775-9265-692a9aa0dd17,70.33,-22.218,78.128,-14.419,78.128,-22.218
Base-388,969,No,Base,388,No,196.75,14,0,43cfd87c-5b85-491f-97cb-c7d9e251ae20,194.165,-140.229,203.322,-131.073,203.322,-140.229
Base-389,693,No,Base,389,No,196.75,0,0,bf128efc-74db-46f2-8fc8-a3ebc578fd9e,491.458,-264.172,525.936,-229.695,525.936,-264.172
Base-401,1283,No,Base,401,No,122.75,14,0,cb5ba201-c494-4e17-b0b6-e45b4b72f2a0,35.818,-11.803,39.211,-8.41,39.211,-11.803
Base-402,1275,No,Base,402,No,120.75,14,0,2521b965-c1f5-4c7e-bee7-11b9ffdcc471,204.875,-61.492,228.014,-38.353,228.014,-61.492
Base-407,1285,No,Base,407,No,131.9167,14,0,d673bc1b-fa3b-42f7-8d4e-bf0500f9c3ad,1.453,-20.053,-1.824,-23.33,1.453,-23.33
Base-412,970,No,Base,412,No,140.75,14,0,9356824f-77b0-4be0-a22c-51c9f05dd081,59.589,38.037,77.835,56.283,77.835,0
Base-417,971,No,Base,417,No,144,14,0,f1f81c24-6cf5-47f5-be3b-c6d44bde4be8,47.89,24.418,61.321,37.85,61.321,0
Base-426,972,No,Base,426,No,157,14,0,eba9f6ef-8c69-40df-905d-0163dbf0fb1c,23.716,8.142,29.693,14.12,29.693,0
Base-427,973,No,Base,427,No,148,14,0,a5007fdf-fdd3-4fab-b504-0fb52ef9349e,-0.96,-4.562,-2.012,-5.614,-0.96,-5.614
