ID,UniqueName,Is Auto Point,Story,PointBay,IsSpecial,X,Y,Z,Code,Envelope:QG2+(100/30-BSE-2E)/J-Max,Envelope:QG2+(100/30-BSE-2E)/J-Min,Envelope:QG1+(100/30-BSE-2E)/J-Max,Envelope:QG1+(100/30-BSE-2E)/J-Min,Max Compression-J,Max Tension-J,Envelope:QG2+(100/30-BSE-1E)/m-Max,Envelope:QG2+(100/30-BSE-1E)/m-Min,Envelope:QG2+(100/30-BSE-2E)/m-Max,Envelope:QG2+(100/30-BSE-2E)/m-Min,Max Compression-m,Max Tension-m
Base-6,Base,6,940,341,No,133.6667,0,No,0,108,-93.4,109.7,-91.7,109.7,-93.4,65.7,-51.1,59.9,-45.4,65.7,-51.1
Base-11,Base,11,905,142.4167,No,0,0,No,0,315.6,-116,345.5,-86.1,345.5,-116,225,-25.3,213.1,-13.4,225,-25.3
Base-13,Base,13,630,120.75,No,0,0,No,0,800.3,-611.3,828.5,-583.2,828.5,-611.3,503.8,-314.8,473,-284,503.8,-314.8
Base-16,Base,16,941,341,No,165,0,No,0,21.1,2.3,24,5.2,24,2.3,17.1,6.2,16.6,6.7,17.1,6.2
Base-17,Base,17,3684,341,No,158.0833,0,No,0,63.3,-52.8,64.6,-51.5,64.6,-52.8,38.9,-28.4,35.7,-25.1,38.9,-28.4
Base-20,Base,20,4915,341,No,182.1667,0,No,0,65.6,-53.5,67.1,-52,67.1,-53.5,40.6,-28.5,37.2,-25.1,40.6,-28.5
Base-25,Base,25,944,341,No,204.8333,0,No,0,96.5,-80.8,98.4,-78.9,98.4,-80.8,59.2,-43.6,54.2,-38.6,59.2,-43.6
Base-26,Base,26,6884,341,No,188.3333,0,No,0,56.9,-46.6,58.1,-45.3,58.1,-46.6,35.1,-24.8,32.2,-21.9,35.1,-24.8
Base-35,Base,35,946,341,No,210.1667,0,No,0,95.8,-84.6,97.2,-83.2,97.2,-84.6,57.9,-46.7,52.8,-41.6,57.9,-46.7
Base-36,Base,36,947,341,No,209,0,No,0,20,-17.7,20.2,-17.5,20.2,-17.7,12.1,-9.8,11,-8.8,12.1,-9.8
