Area,NumPoints,Point1,Point2,Point3,Point4
1,4,32,31,33,13
2,4,34,41,44,61
4,4,102,10,1253,109
6,4,39,47,46,38
7,4,50,52,51,48
8,4,1218,1220,1644,1643
9,4,27,101,1196,1194
10,4,54,57,56,53
11,4,4,24,21,22
12,4,168,170,1253,171
13,4,1124,1122,62,1125
14,4,1189,27,107,1268
18,4,1151,1150,1145,1146
19,4,110,121,122,120
20,4,36,45,35,49
21,4,172,183,184,1263
22,4,3,1126,2,1133
23,4,1456,199,1453,201
24,4,1158,1159,1157,1160
26,4,1167,1169,1168,1170
28,4,1180,1181,1179,1182
33,4,147,149,150,148
34,4,55,1149,1147,1155
36,4,1140,1156,1148,1165
37,4,1175,1176,1166,1177
39,4,1178,1286,1152,1287
40,4,1221,1223,1209,1213
41,4,1312,1313,1304,1314
42,4,1215,1217,1224,1208
44,4,151,153,155,152
46,4,1236,1237,1232,1233
48,4,1241,1240,1244,1245
49,4,156,160,161,157
51,4,24,1605,1611,1604
53,4,43,42,1612,39
54,4,1122,1614,57,1613
55,4,1125,1615,1616,1129
56,4,1135,1617,1127,1129
58,4,1619,1620,1618,1138
60,4,16,18,1151,1621
61,4,1623,1624,1622,1281
62,4,1281,1278,1277,1280
64,4,1626,1627,1278,1625
65,4,1260,1342,1338,1628
71,4,1261,1629,1630,1296
89,4,58,157,162,164
104,4,1635,1636,1300,1637
151,4,1241,1642,1641,1237
178,4,1221,1220,1218,1217
217,4,1643,1644,1213,1224
285,4,157,161,166,162
286,4,161,167,60,166
382,4,175,174,176,177
384,4,190,191,192,186
386,4,185,193,195,196
387,4,1294,1296,1300,1299
389,4,1323,1322,1324,1320
390,4,1420,1480,1188,198
391,4,1330,1331,1328,1332
398,4,1343,1344,1340,1339
399,4,1345,1267,1268,1341
404,4,215,216,217,214
405,4,1369,1370,1368,1371
406,4,1372,1374,1373,1375
409,4,213,255,393,394
433,4,1400,1402,1398,1403
434,4,1401,1404,1399,1405
435,4,1406,1408,1407,1409
436,4,1410,1416,1413,1417
439,4,1411,1422,1414,1423
440,4,1412,1424,1415,1425
442,4,1430,1433,1427,1434
443,4,1432,1435,1429,1436
444,4,1431,1437,1428,1438
445,4,1439,1445,1442,1446
446,4,1440,1447,1443,1448
447,4,1441,1449,1444,1450
449,4,1454,1459,1451,1460
450,4,1455,1461,1452,1462
451,4,1464,1467,1466,1468
452,4,1463,1469,1465,1470
460,4,1645,1640,1647,1648
461,4,1648,1647,1649,14
462,4,1652,1653,7464,1654
464,4,1653,1655,1656,7464
469,4,1665,1657,1666,1667
470,4,1668,1669,1670,1658
472,4,1673,1674,1675,11
474,4,1676,1678,22,1677
475,4,1682,1683,1681,1684
477,4,1685,1679,1686,1352
478,4,1691,6,1692,1693
480,4,1695,1694,1696,7
481,4,1352,1697,1699,1700
484,4,1706,1707,1708,1709
486,4,1710,1712,1713,1711
487,4,1261,1260,1628,1629
488,4,1629,1628,1715,1716
489,4,1716,1715,1717,1718
