Point,GlobalX,GlobalY
1,193.75,91.5
2,199.75,94.5
3,193.75,88.5
4,46.25,177.1667
5,0,27.5833
6,43.1666,23.0833
7,42.5,100.3333
9,123.5,2.75
10,133.25,93.1667
11,1.3333,195.8333
12,118,-2.75
13,116,4.8333
14,1.3333,22.75
15,-1.3333,22.75
16,199.75,92.25
17,47.5834,194.3333
18,199.75,90.75
19,-1.3333,195.8333
20,-1.3333,194.3333
21,47.5834,195.8333
22,46.25,195.8333
24,47.5834,177.1667
27,195.5834,13.1042
28,50.9167,28.8333
29,156.25,110.333
30,196.75,70
31,125.5,-4.75
32,116,-4.75
33,125.5,4.8333
34,192,-4.75
35,145.4167,3
36,139.4167,-3
37,120.75,31.5
38,50.1667,219.9167
39,50.1667,218.4167
40,-1.3333,126.0833
41,201.5,-4.75
42,51.6667,189.1666
43,50.1667,189.1666
44,201.5,4.8333
45,145.4167,-3
46,128.75,219.9167
47,128.75,218.4167
48,128.75,220.0834
49,139.4167,3
50,128.75,218.25
51,180.3333,220.0834
52,180.3333,218.25
53,180.3333,219.9167
54,180.3333,218.4167
55,154.25,-3
56,208.25,219.9167
57,208.25,218.4167
58,193.6667,73.2917
59,196.75,31.5
60,199.8333,79.4583
61,192,4.8333
62,206.75,209.4166
63,246.417,91.5
65,122.75,91.5
67,196.75,15.5
68,196.75,73.8333
69,246.417,123.667
70,341,162
71,341,177.833
72,341,192.833
74,341,195.083
75,13.3333,27.5833
78,0,97.125
79,0,102.517
80,0,105.351
81,0,110.2047
82,0,121.9748
83,0,124.514
84,0,167.686
85,30.9444,27.5833
87,196.75,75.5
101,197.9166,13.1042
102,133.25,89.8333
107,195.5834,14.75
109,122.1667,89.8333
110,196.3611,19.2708
111,79.5833,110.3333
120,196.3611,28.1458
121,197.1389,19.2708
122,197.1389,28.1458
147,196.3611,34.3124
148,196.3611,43.1876
149,197.1389,34.3124
150,197.1389,43.1876
151,196.3611,49.3542
152,196.3611,58.2292
153,197.1389,49.3542
155,197.1389,58.2292
156,196.3611,64.3958
157,196.3611,73.2917
160,197.1389,64.3958
161,197.1389,73.2917
162,196.3611,79.4583
164,193.6667,79.4583
166,197.1389,79.4583
167,199.8333,73.2917
168,119.3333,53
169,337.4167,210.1667
170,122.1666,53
171,119.3334,93.1667
172,119.25,28.5
174,245.8334,114.5833
175,245.8334,134.4167
176,247,114.5833
177,247,134.4167
183,122.25,28.5
184,122.25,50
185,48.6667,164.9999
186,48.6667,161.9999
190,48.6667,114.4999
191,53.1667,114.4999
192,53.1667,161.9999
193,53.1667,164.9999
195,53.1667,189.1666
196,48.6667,189.1666
198,46.7501,114.4999
199,249.75,107
201,243.0834,113.6666
213,-0.4444,192.0833
214,-0.4444,186.0833
215,-0.4444,66.0625
216,0.4444,66.0625
217,0.4444,186.0833
255,0.4444,192.0833
393,0.4444,195.8333
394,-0.4444,195.8333
512,337.4167,133.6667
527,196.75,88.5
534,0,68.0833
728,120.75,0
729,168.1667,110.3333
730,168.1667,91.5
731,196.75,0
732,246.4167,149.3333
733,246.4167,165
734,246.4167,188.3333
735,79.5833,188.3333
736,100.0833,188.3333
737,128.75,188.3333
738,156.25,188.3333
739,180.3333,188.3333
740,207.5,188.3333
741,232.3333,188.3333
742,128.75,110.3333
744,246.4167,110.3333
745,196.75,110.3333
746,220.75,110.3333
747,142.4167,0
748,42.0833,161.1667
749,42.0833,177.8333
750,271.4167,149.3333
751,168.1667,133.6667
752,271.4167,188.3333
753,291.75,188.3333
754,319.5,188.3333
755,271.4167,165
756,291.75,165
757,319.5,165
758,291.75,149.3333
759,319.5,149.3333
760,79.5833,210.1667
761,100.0833,210.1667
762,128.75,210.1667
763,156.25,210.1667
764,180.3333,210.1667
765,79.5833,165
766,79.5833,149.3333
767,79.5833,133.6667
768,100.0833,133.6667
769,100.0833,149.3333
770,101.0833,165
771,128.75,165
772,128.75,149.3333
773,128.75,133.6667
774,156.25,165
775,156.25,149.3333
776,180.3333,165
777,180.3333,149.3333
778,207.5,165
779,207.5,149.3333
780,230.5833,165
781,225.5833,149.3333
782,194,133.6667
783,220.75,133.6667
784,143.8333,31.5
785,143.8333,50
786,143.8333,70
787,168.1667,31.5
788,168.1667,50
789,168.1667,70
790,341,158.0833
792,341,165
793,341,182.1667
795,341,188.3333
796,341,204.8333
797,341,209
798,341,210.1667
800,341,173.5833
801,341,196.5833
802,277.75,133.6667
803,285.75,133.6667
805,143.8333,89.1667
806,143.8333,91.5
807,196.75,23.7083
808,196.75,29.7083
809,196.75,32.8333
810,196.75,44.9375
811,196.75,47.6042
812,196.75,59.9792
814,196.75,62.6458
817,196.75,76.8333
818,143.8333,93.1667
820,196.75,36.5
821,196.75,50
822,196.75,56.5
823,120.75,14
824,122.75,14
825,196.75,14
826,196.75,17.5
827,140.75,14
828,144,14
829,148,14
830,157,14
831,159.4167,14
832,167.0833,14
833,167.0833,8.6667
834,171.5833,8.6667
835,175.5833,8.6667
836,175.5833,14
837,183.5,14
838,157.25,8.6667
839,162.1667,8.6667
840,157.25,0
841,157.25,4.5
842,175.5833,0
843,175.5833,4.5
844,192.75,14
845,120.75,22
846,120.75,25.5
847,120.75,28.5
848,120.75,32.8333
849,120.75,36.5
851,188.125,14
852,120.75,50
853,120.75,53
854,120.75,56.5
855,120.75,58.8333
856,120.75,64.8333
858,120.75,67.8333
859,120.75,73.8333
860,120.75,76.8333
861,127.3333,14
863,131.9167,14
864,120.75,89.8333
865,120.75,91.5
866,120.75,15.5
868,120.75,18.5
869,136.3333,14
870,152.5,14
871,120.75,80.5
